Name,Status,Price,Stars,Ratings,Link
Nintendo Switch Console with case (my ref 360),Pre-Owned,"JPY 25,498",Tim,0,https://www.ebay.com/itm/Nintendo-Switch-Console-with-case-my-ref-360/303520922672?hash=item46ab41bc30:g:PC0AAOSwt9Bedxys
Nintendo Switch 32gb Console Neon Blue and Neon Red Joy‑Con Brand New,Brand New,"JPY 48,992",0,0,https://www.ebay.com/itm/Nintendo-Switch-32gb-Console-Neon-Blue-and-Neon-Red-Joy-Con-Brand-New/264677688981?hash=item3da0050695:g:G-sAAOSwrGpeeXBU
New Nintendo Switch Animal Crossing New Horizons Special Edition 32GB Console,Brand New,"JPY 52,332",4.5,0,https://www.ebay.com/itm/New-Nintendo-Switch-Animal-Crossing-New-Horizons-Special-Edition-32GB-Console/293522057897?epid=4037037457&_trkparms=ispr%3D1&hash=item4457472aa9:g:e0EAAOSwkA5eeKkg&enc=AQAEAAACUBPxNw%2BVj6nta7CKEs3N0qUz9ihgjT3G%2F7crNgxjJ18x9WrK3NkE0oGVGkp52Ja6%2Bx3Y4kBsBWDPoyYby9a2sPPh4tFDPeo1N%2FeDFUJfOC%2BmjEh7tR8aLXy2qhziVHxPqToPybmuLT6owIUG1qnyNT503mpjYm%2F0im6W%2FLJrJN7MVEUKB72wyDQAIcoxKPG%2B5fR8QZKGKrwU0xgzvb4%2F4RyoACEJoav4sL85Cr%2B%2FlvDbJDbbnw2%2BO7pvKEwRUi8lRADDOMBk2h2FqgATYqrYSgT1gM0cEPcDa4rznEHeELfJMgG3yMDHDnTMb%2BaB3NSobRFJcucyzfEMt2E8AwyPALLLaYs%2FVYQ4x4hhk%2F7maYEEbOl%2B3ipnplsaoRqDLOWVdnTp1SYSdAw33SPfEzwaRBk9lNP2oXN2Xs%2FvbEZCHF1pQR0Z1gu8nHFL%2Fgs6yokX%2BMkU7gPtn4ssl49A6Y16qM0bfxoNXJAZdHBjzvoC%2Bu8kXGnnxe5ABrNANiJRt%2B63PO%2Fvip6z9tpfjemGvFZvR56AkpYtjcwdsqwK%2Foqv1SPkaLTi4S4i9tSLU7GqVAEOOw1N6uW%2FANu%2FU1h9ShkL86crDIkQaTRCZrzP9KvFk7B5pecuZy%2BFrQUo%2BvFaFL1Kuk7q%2FL8gWmxLqYvljvYXTUGGnSzJ69ajoubhMIxLps2yEk5%2BB1eymR%2B6zRR1dkRpR9keo6%2B3aLsHVsRPjC%2BW0oJy0Sjl8FYN%2Bj5XtxpBKGukS1atKzFNiRyVHKGO4%2B9uQR2H5rnGTnG0LOhVnVfMX1k%3D&checksum=293522057897cae8b5a5092e4535867604eb69b5f409
New Version Nintendo Switch 32 GB Console - Neon Blue/Red Joy-Con HAC-001,Brand New,"JPY 52,886",0,0,https://www.ebay.com/itm/New-Version-Nintendo-Switch-32-GB-Console-Neon-Blue-Red-Joy-Con-HAC-001/353019387147?hash=item5231985d0b:g:i-kAAOSw3TNeeW1m
Nintendo Switch Lite 32GB Handheld Video Game Console - Gray - New In Box,Brand New,"JPY 22,152",0,0,https://www.ebay.com/itm/Nintendo-Switch-Lite-32GB-Handheld-Video-Game-Console-Gray-New-In-Box/333556646326?hash=item4da98681b6:g:GFIAAOSwgj9ec8Ah
Nintendo Switch HAC-001 32GB Console with blue and Neon Red joy-con,Pre-Owned,"JPY 36,188",Tim,0,https://www.ebay.com/itm/Nintendo-Switch-HAC-001-32GB-Console-with-blue-and-Neon-Red-joy-con/402181048953?hash=item5da3dbca79:g:-FcAAOSwMKFeeVXW
Nintendo SWITCH Console System Pocket Monster POKEMON PIKACHU Limited Model,Open Box,"JPY 61,018",3.0,0,https://www.ebay.com/itm/Nintendo-SWITCH-Console-System-Pocket-Monster-POKEMON-PIKACHU-Limited-Model/114157734253?epid=26033166662&hash=item1a9454c96d:g:yxYAAOSwJHheeVO9
Nintendo Switch Neon Red and Neon Blue Joy-Con Console - Pre-Owned,Pre-Owned,"JPY 44,537",4.5,0,https://www.ebay.com/itm/Nintendo-Switch-Neon-Red-and-Neon-Blue-Joy-Con-Console-Pre-Owned/193394242398?epid=22031750451&hash=item2d0731f35e:g:De4AAOSwGfVeeZZD
Nintendo Switch Console Bundle- Pikachu & Eevee Edition,Pre-Owned,"JPY 31,177",5.0,0,https://www.ebay.com/itm/Nintendo-Switch-Console-Bundle-Pikachu-Eevee-Edition/233536463563?epid=20025867439&hash=item365fdba2cb:g:x94AAOSwtMVeeH9X
NEW Nintendo Switch - 32GB Gray Console (with Gray Joy-Con) Japanese Version,Brand New,"JPY 55,672",0,0,https://www.ebay.com/itm/NEW-Nintendo-Switch-32GB-Gray-Console-with-Gray-Joy-Con-Japanese-Version/232724667362?hash=item362f789be2:g:47gAAOSwdqlax3sE
Nintendo Switch Super Mario Odyssey set bundle console EMS,Brand New,"JPY 57,899",0,0,https://www.ebay.com/itm/Nintendo-Switch-Super-Mario-Odyssey-set-bundle-console-EMS/142995644125?hash=item214b345edd:g:MYIAAOSw~OhbVEIa
"Nintendo switch neon  console bundle, 1 game 2 extra joycons joycon charger case",Pre-Owned,"JPY 48,381",Tim,0,https://www.ebay.com/itm/Nintendo-switch-neon-console-bundle-1-game-2-extra-joycons-joycon-charger-case/293522371045?hash=item44574bf1e5:g:QI0AAOSwRq5eePuy
Nintendo Switch Super Mario Odyssey set bundle console Very Good,Pre-Owned,"JPY 53,445",5.0,0,https://www.ebay.com/itm/Nintendo-Switch-Super-Mario-Odyssey-set-bundle-console-Very-Good/143101105749?epid=239125635&hash=item21517d9655:g:MYIAAOSw~OhbVEIa
Nintendo Switch Console Neon Red and Blue Joy-Con New Model Fast Ship,Brand New,"JPY 52,322",0,0,https://www.ebay.com/itm/Nintendo-Switch-Console-Neon-Red-and-Blue-Joy-Con-New-Model-Fast-Ship/333556565040?hash=item4da9854430:g:5IIAAOSwzRleeR8k
Nintendo Switch Neon Red and Neon Blue Joy-Con Console (Newest Model),Brand New,"JPY 55,673",4.5,0,https://www.ebay.com/itm/Nintendo-Switch-Neon-Red-and-Neon-Blue-Joy-Con-Console-Newest-Model/324112680651?epid=22031750451&_trkparms=ispr%3D1&hash=item4b769f06cb:g:aWwAAOSwnhZeeTAr&enc=AQAEAAACYBPxNw%2BVj6nta7CKEs3N0qV3B7NJIGbscLn4DNqG6JC0bTO2bY2VLqmInUNebBjJIMvKVI6kNySi76%2Fc5EegScyYc4PR5o4mCVJFcCoGHWPvBv%2BF7Q56QXefap6YV1baG1KCJZpjEgfVxy0mgveLxrl1nQvFPX%2Fqgd00v2hS8Jbhid2hEt1f4Ts3yOaem2nH2mwZUdw9JczfrB%2BT%2FFHEZ69fgAjOIlUsV7Cb8YZz2O8Sj7u1gkKR9AQ5SR6mALcV1YkzHu87VKGXXZP5X%2BYcvV%2FFbxQol%2BB8a3v1cEx%2BbRsnFjZ9%2F8YN66YXTsmAjQRryiSKP704WeO5icPFJq5E34qwLrzsreV0LMH%2BGUCYSHk212lV43XK%2BmyIlwQg6wpi%2BygItZjBuYmMGFcazZlBp9Vd6C4Zo9MNRLQUw6EKeSHthjdlXbN1UGnQSma0nVxhAbKaa1MmeZN2U1QRb%2BrrN4I7zPqda5lBaK1eQxIbGCvKZBOMeSqPkKcw%2F4F38MPLLLdDOzZBA7y3fV7RGJMD6Rfsmy8zAtOalzUOc1CgjW5EPXT1SdJEOTg8OxpYZR%2FSKSAhq203xfF%2BYrmIiY2Y3PNRx5wClMrdQO0oY27CJpYLmVO4u88Ayo5yUfdZ%2FM1Fnc3iyPzy4Ns803Vc8v7pao7VHfVqAvBpTMBMLsd%2B3UfnzFfF6v1Ngi0fJZ4aPaYlCp1UPJR0id5HLulocStVw73%2BGJVTvDc6u2tQ2y8RAAFI6MB0%2B6Ez4foyZvbWPB077pXRqD8VVHF%2BC5nR%2BepiodH9CN%2FEopqmkXDeD5kplKDt&checksum=324112680651cae8b5a5092e4535867604eb69b5f409
BUNDLE Nintendo Switch Red and Blue Joy-Con Console 128GB SDCard/Membership/Case,Brand New,"JPY 61,240",0,0,https://www.ebay.com/itm/BUNDLE-Nintendo-Switch-Red-and-Blue-Joy-Con-Console-128GB-SDCard-Membership-Case/174229446027?_trkparms=ispr%3D1&hash=item2890e25d8b:g:eqwAAOSwrIxeeYcQ&enc=AQAEAAACYBPxNw%2BVj6nta7CKEs3N0qUHrIAnuDK9AqRLrhHNN5C5rqtU9XAwDDKT3ALz%2BYPSmOFLMuHHCecjhws6A1qKmyFoTGYABySFWW%2B%2BV5nVERGYNL4Qud%2BsrSQDxnCAdkKhZjUb52uVnqmYtCMu65twLmz9%2FZVlFwxRopJwq9eUmRDZbsfOxlw96iOj1Bsm0w%2F88ADQnvMER0qAPqIVnSruklIvEKoDMR%2Bsf5o5GvDQNTlKa6EEU%2BF%2FnrgjSULQbjiC0YD4CYdrV9XqRljpyIbPFmSJmwwPY3q6%2F8Fkb2ITuhKEj6u9NsYsDMhMQed8JmNXIr6MWnhL%2FTWRBSHmI94DVxV9aDMRk6TdxcewK9zLvK2fJRudBpt%2B8VQfS%2Fn%2F0WN%2B%2BA6YUEa5sXYy%2BMlWKT4yu7KYuEyfBaGA1URWM9wBpKZj8YARgTOWlobvY8nqpLMWG2NPURiXoVHqOuZrMRf7H%2BVGcYl5vB8mYCH2RRJhXJ76FfecwNDDaBI9fLxOkybiD9e5yAw%2BT8kdiRJriPNCMlNhP5HnnpBwApFhjSwNteDzm5yuppyzBAjzzqPSq3NVm%2FuBz2lpbkyG%2Bfh%2BmioXGRt5nE70LnoHGawhzRggpVEqYhk58FvtsnMSBLP75l7PIwqmJH2%2Bj4Br1FgdQTz5hlByh4q7TsVTrfeHOZGFDBWxksfICm%2BVRWDmmZlhW2PtERroPE5EhNnGmjJ2dko6ws%2F3jURYZDplG1hWoSFwaQlanCVZD1OG3%2B7LqqmNJymLpTw78VndyejjIVap%2FKvk%2FBiRFu%2FN%2BfbPny%2F3Q6c3c%2BoA&checksum=174229446027cae8b5a5092e4535867604eb69b5f409
Nintendo Switch Console - Black with Neon Blue and Neon Red Joy-Controller,Brand New,"JPY 53,446",5.0,0,https://www.ebay.com/itm/Nintendo-Switch-Console-Black-with-Neon-Blue-and-Neon-Red-Joy-Controller/324111931319?epid=15029111237&_trkparms=ispr%3D1&hash=item4b769397b7:g:B4gAAOSwBVZeeE9N&enc=AQAEAAACYBPxNw%2BVj6nta7CKEs3N0qUhGwsk2ZueTNWE%2F4B5HJkyxuWxMdyxi4nzWZo5TyPuWQZmQudexs3LdbiL5cSIw0%2FA0uFY%2FQW5PUWOxJ%2BMEcbYOugtIFsW25jPGu8QlBGxNbJFfx2MIYqEGYb7N1oEzRWNIexxIzZPZjbrTINPxyCMiQWi5JOAL8s8cvKK3ggrXBLFWkBntJZgNL%2Bwqm7k2DInAvFEEd2iiBNCIhPkR%2BpOgmInTT2fe9uf7nfi4PPLqr9Y0KsXce5HDt3t4B0E8EfwBpfg%2F78kIV2Gv6wN5MCOkh%2BlHEFhw1dU41hIlxZ3o7IUkaFAMkemBWlanMUZvy52AKCAbxwftj%2FqA%2FV361SX1TdsMzVFx9RFaPBMdr1w73qgvbJqkLI32PjkbZT4YK3Auth%2BaTmd7y%2B%2Fsh2g6f7KYaW1xjEuMwV19%2B8AcIsGebSDKZ%2BGS%2FTp2qkN8X%2B1zdop3%2FMgsZVvrnZd6OqVzBarkayjjICeEm%2For56fQa9oUZtXLbPb87mFKVdPCpnFUKrCJz5%2BSx74%2BLdvMBRXmwYp2TkgrniAQ%2BeMAy80lmUbAUQg95lc%2BAFo%2BdoM1eqTcraXUiU%2FH5coLPAAMVN3mkD1CIIff3sJ%2F8ysDhiU8BAimGc9077RRmfpjA2dGOFCdGXl%2B1UdpBGLxSvwkGVrMYVPXINyYxism4D4Z%2FbMOKn6w9IR0q%2BWlT5VzE7pnm1RnHMQL5DiVP9zBiT0ajMfgjx0L5dFAgR1aMdsAo3eTuqnClNaJJv0qHaT7ZDxa%2B%2F9hYqGTqAZdPqNYmsxVubSmJ51&checksum=324111931319cae8b5a5092e4535867604eb69b5f409
Nintendo Switch Console Black w/ Neon Blue and Neon Red Joy Controller PREORDER,Brand New,"JPY 55,672",5.0,0,https://www.ebay.com/itm/Nintendo-Switch-Console-Black-w-Neon-Blue-and-Neon-Red-Joy-Controller-PREORDER/223955578868?epid=15029111237&_trkparms=ispr%3D1&hash=item3424caeff4:g:EmMAAOSwVCJeeXjx&enc=AQAEAAACYBPxNw%2BVj6nta7CKEs3N0qWLIfSEtx6DxQdif0V619s9UXRHoGiUJAUgaS%2BrzSIAIqy9n08ZOI6ntX0HlOfWGt%2BOKRYFeJo6L0t6kFDm3csrE12Ie7OnOuWthe6STgYHq6UGtK1XRduaEMweL0fMRto2gKnCtwDsvJM8EghbThWWX4ANvGjaQpp%2FLUpODWPHM%2Bn5PzN66FG8wvD%2Bt2oGRDaR84N8y2qiJ7ov425KW7PQD%2BKJ3r0fuK6ab1D4e7swrmQvp%2Bx6jA%2F9zar%2FF5ss%2FOgQ8S8VU9tBaIX4LYFToOJhurZVkY%2FYmN6fQYpiGgk0%2BdsjSbELOCjCxf1BqxPvqy0AusepxkBoooZBMKvkRAQBOoeP72P3V6WlzY3EByIA%2BKlc4DStViY18ZQ69n6HCdw3wcAS%2F7ZQnY7AGHJhp0wMLmRY89SrT24g6XGMX0REKN9%2FQv6OaTwbIBkCvHCFoKV6EaNB7xC2ybJEbTy5%2FPe6Q85Xt49GkIB0FQZka4MbaKbawdPmTorsj8zAVDXVD2IhsXmcLKZqUkDsF%2FjoRElPIJm5SHpnrIe5MSRJLnA2JYtjLIHavgHYTANEhXjIZaV7Rvr7n%2BT07JqgoNg%2FGVzSbDcBs39d6x9gXAXow4YZyAivLYDIiQz%2FDZWiiDPJsdaGyuzSPpKF42gCW0JunCK%2FCFzgemiRmbniNGe9M4MDm5o5ZhZN7w7vIBBEQfvc0bRrtfmsq%2FNQe3725qji7t5rgPtm%2FsziLTO6hsjucjyjVpFdlzX03JadAAOKkSwpQq6FNHROBXWcfKcNPZKnsY1Z&checksum=223955578868cae8b5a5092e4535867604eb69b5f409
Nintendo Switch 32GB Console w/ Neon Blue & Neon Red Joycon & Extras NEW IN HAND,Brand New,"JPY 61,240",0,0,https://www.ebay.com/itm/Nintendo-Switch-32GB-Console-w-Neon-Blue-Neon-Red-Joycon-Extras-NEW-IN-HAND/264677594478?hash=item3da003956e:g:lt0AAOSwhLheeU~i
